"Regen_Plot","firesev","dist.to.low"
"BST1100063",4,58.6791981731611
"BST1100064",4,37.9938815063797
"BST1100066",3,22.4019110403112
"BST1100067",4,30.9188934472584
"BST1100068",2,0
"BST1100069",3,0
"BST1100070",3,0
"BST1100071",4,68.9525539548795
"BST1100072",4,30
"BST1100086",2,0
"BST1100087",2,0
"BST1100109",3,0.472516891505676
"BST1100090",2,0
"BST1100095",2,0
"BST1100110",3,4.86542682025641
"BST1100111",2,0
"BST1100112",2,0
"BST1100113",4,36.7492080577829
"BST1100114",3,10.0461866150981
"BST1100117",2,0
"BST1100119",4,46.4945155925393
"BST1100134",2,0
"BST1100135",3,0
"BST1100136",3,4.11349823326744
