plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_CONIF.ALLSP,plot_size_CONIF.ALLSP
BAR1111942,DJNY,-123.2072507191053,40.76148571981968,2006,2011,5,2,high,30,70,0.5,15,1,60
BAR1111944,DJNY,-123.20253778560202,40.76163912546078,2006,2011,5,NA,high,30,50,1,0,17,60
BAR1111945,DJNY,-123.20024435374846,40.76170033213249,2006,2011,5,NA,high,85,15,5,0,0,60
BAR1111946,DJNY,-123.19785613314723,40.76172093688038,2006,2011,5,30,high,75,30,2,0,0,60
BAR1111947,DJNY,-123.19546216723678,40.76180303070848,2006,2011,5,19.32,high,75,2,8,0,0,60
BAR1111948,DJNY,-123.1931814375241,40.76179524977711,2006,2011,5,14.6,high,87,80,0,5,0,60
BAR1111984,DJNY,-123.2024923447449,40.75896328877301,2006,2011,5,NA,high,99,1,4,15,0,60
BAR1112020,DJNY,-123.20710125489389,40.75791506644387,2006,2011,5,4.7,high,65,5,1,40,2,60
BAR1112021,DJNY,-123.20484727296589,40.75797142909573,2006,2011,5,20.4,high,15,68,2,3,0,60
BAR1112022,DJNY,-123.20244417365963,40.75804170247797,2006,2011,5,40,high,0.5,0.5,1,0,0,60
BAR1112056,DJNY,-123.20476430727082,40.756067876588446,2006,2011,5,11.8,high,60,0.5,0.5,0,2,60
BAR1112118,DJNY,-123.19999996172744,40.75269682899755,2006,2011,5,5.3,high,65,30,1,10,3,60
BST1100005,DJNY,-120.60456727139436,39.61657245328683,2006,2011,5,9.7,high,80,5,25,0,5,60
BST1100024,DJNY,-120.60459655253648,39.61841519974107,2006,2011,5,18.5,high,48,0.5,7,0,2,60
BST1100043,DJNY,-120.60689297389862,39.620176048125224,2006,2011,5,55.5,high,60,0.5,0.5,0,0,60
BST1100046,DJNY,-120.59991007036484,39.62019857976073,2006,2011,5,43.5,high,90,0,0,0,0,60
BST1100047,DJNY,-120.59737322379205,39.62021052657925,2006,2011,5,24.3,high,45,5,15,0,3,60
BST1100052,DJNY,-120.58600275375329,39.62030377656307,2006,2011,5,21,high,90,0,0.5,0,0,60
BST1100063,DJNY,-120.60692539236298,39.62199030006845,2006,2011,5,28.2,high,70,0,0.5,0,0,60
BST1100064,DJNY,-120.60458692253296,39.621983700102504,2006,2011,5,27.6,high,60,0.5,8,0,0,60
