"OldPLOTID","Regen_Plot","modal_ht_ft","Species","Cover","ID","modal_ht_cm","comments"
,"PWR0900041",,"ARPA6",2.00,1027,100.00,
,"PWR0900041",,"SALU",1.00,1028,175.00,
,"PWR0900041",,"SANIC4",2.00,1029,110.00,
,"PWR0900039",,"CECO",10.00,1030,40.00,
,"PWR0900039",,"ARPA6",5.00,1031,40.00,
,"PWR0900039",,"SASC",0.50,1032,50.00,
,"PWR0900049",,"CHFO",0.50,1033,30.00,
,"PWR0900049",,"ARPA6",1.00,1034,60.00,
,"PWR0900037",,"CECO",22.00,1035,80.00,
,"PWR0900037",,"ARPA6",1.00,1036,65.00,
,"PWR0900037",,"CHFO",1.00,1037,1.00,
,"PWR0900033",,"CEIN3",50.00,1038,190.00,
,"PWR0900033",,"GAFR",15.00,1039,160.00,
,"PWR0900033",,"CECO",1.00,1040,95.00,
,"PWR0900033",,"RIRO",1.00,1041,120.00,
,"PWR0900033",,"ARPA6",1.00,1042,60.00,
,"PWR0900033",,"CHFO",1.00,1043,40.00,
,"PWR0900033",,"QUVA",0.50,1044,30.00,
,"PWR0900027",,"CECO",30.00,1045,85.00,
,"PWR0900027",,"ARPA6",10.00,1046,80.00,
,"PWR0900027",,"CEIN3",1.00,1047,95.00,
,"PWR0900027",,"RIRO",0.50,1048,40.00,
,"PWR0900027",,"PRVI",0.50,1049,65.00,
,"PWR0900016",,"CECO",10.00,1050,60.00,
,"PWR0900016",,"RIRO",10.00,1051,60.00,
,"PWR0900016",,"ARPA6",1.00,1052,30.00,
,"PWR0900018",,"CECO",20.00,1053,65.00,
,"PWR0900018",,"RIRO",3.00,1054,80.00,
,"PWR0900026",,"RIRO",0.50,1055,20.00,
,"PWR0900026",,"CECO",1.00,1056,30.00,
,"PWR0900026",,"ARPA6",0.50,1057,140.00,
,"PWR0900127",,"CHFO",18.00,1058,30.00,
,"PWR0900153",,"CHFO",10.00,1059,,
,"PWR0900153",,"ERCA6",1.00,1061,,
,"PWR0900126",,"CHFO",30.00,1062,30.00,
,"PWR0900126",,"ARPA6",3.00,1063,55.00,
,"PWR0900125",,"CHFO",10.00,1064,30.00,
,"PWR0900152",,"ARPA6",10.00,1065,55.00,
,"PWR0900152",,"CECO",0.50,1066,25.00,
,"PWR0900123",,"CHFO",15.00,1067,30.00,
,"PWR0900123",,"ARPA6",5.00,1068,95.00,
,"PWR0900101",,"ARPA6",15.00,1069,85.00,
,"PWR0900101",,"CHFO",5.00,1070,30.00,
,"PWR0900102",,"ARPA6",15.00,1071,75.00,
,"PWR0900103",,"CHFO",12.00,1072,40.00,
,"PWR0900103",,"CECO",2.00,1073,75.00,
,"PWR0900103",,"ARPA6",1.00,1074,80.00,
,"PWR0900080",,"CHFO",20.00,1075,30.00,
,"PWR0900080",,"ARPA6",1.00,1076,77.00,
