"ID","Regen_Plot","OldPLOTID","Count_total","0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","6yr","7yr","8yr","9yr","10yr","11+yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts"
2027,"RAL1100049",,23.00,,1,5,15,2,,,,,,,,"C","PIPO",,"S",4.00,150.00,35.00,,
2028,"BST1100193",,4.00,,,4,,,,,,,,,,"C","ABCO",,"S",2.00,30.00,11.00,,
2029,"BST1100193",,20.00,,6,12,2,,,,,,,,,"C","ABMA",,"S",3.00,53.00,17.00,,
2030,"RAL1100058",,120.00,4,44,42,30,,,,,,,,,"C","CADE27",,"S",3.00,34.00,4.00,,
2031,"RAL1100058",,3.00,1,,2,,,,,,,,,,"C","PILA",,"S",2.00,13.00,4.00,,
2032,"RAL1100058",,4.00,,,2,1,1,,,,,,,,"C","ABCO",,"S",4.00,34.00,5.00,,
2033,"RAL1100058",,2.00,,,1,1,,,,,,,,,"H","QUKE",,"S",3.00,24.00,6.00,,
2034,"RAL1100058",,3.00,,3,,,,,,,,,,,"C","PSME",,"S",1.00,8.00,4.00,,
2036,"RAL1100057",,1.00,,,1,,,,,,,,,,"C","PSME",,"S",2.00,12.00,3.00,,
2037,"RAL1100057",,1.00,,,,1,,,,,,,,,"C","CADE27",,"S",3.00,27.00,7.00,,
2038,"RAL1100057",,7.00,1,3,1,2,,,,,,,,,"C","ABCO",,"S",3.00,22.00,5.00,,
2039,"RAL1100057",,13.00,1,7,5,,,,,,,,,,"H","QUKE",,"S",2.00,10.00,2.00,,
2040,"RAL1100057",,3.00,2,1,,,,,,,,,,,"C","PIPO",,"S",0.00,5.00,0.00,,
2041,"BST1100197",,1.00,,,1,,,,,,,,,,"C","PIPO",,"S",2.00,44.00,16.00,,
2042,"RAL1100056",,25.00,8,12,2,2,1,,,,,,,,"C","PIPO",,"S",4.00,60.00,14.00,,
2043,"RAL1100056",,18.00,4,1,4,8,1,,,,,,,,"C","ABCO",,"S",3.00,26.00,5.00,,
2044,"RAL1100056",,2.00,,2,,,,,,,,,,,"C","PSME",,"S",1.00,5.00,2.00,,
2045,"RAL1100056",,6.00,2,2,2,,,,,,,,,,"C","CADE27",,"S",2.00,13.00,2.00,,
2046,"RAL1100056",,8.00,,1,5,2,,,,,,,,,"H","QUKE",,"S",3.00,22.00,5.00,,
2047,"BST1100051",,1.00,,,,1,,,,,,,,,"C","CADE27",,"S",3.00,48.00,11.00,,
2049,"RAL1100059",,32.00,2,3,13,9,5,,,,,,,,"C","CADE27",,"S",4.00,80.00,22.00,,
2050,"RAL1100059",,2.00,1,1,,,,,,,,,,,"H","QUKE",,"S",1.00,12.00,5.00,,
2051,"RAL1100059",,1.00,,,1,,,,,,,,,,"H","QUCH2",,"S",2.00,20.00,6.00,,
2053,"RAL1100092",,8.00,,1,1,6,,,,,,,,,"H","QUKE",,"S",3.00,17.00,6.00,,
2054,"RAL1100092",,6.00,5,1,,,,,,,,,,,"C","CADE27",,"S",1.00,10.00,5.00,,
2055,"RAL1100092",,1.00,,1,,,,,,,,,,,"C","PSME",,"S",1.00,15.00,5.00,,
2056,"RAL1100092",,1.00,,,1,,,,,,,,,,"C","PILA",,"S",2.00,20.00,10.00,,
2057,"BST1100311",,3.00,,1,2,,,,,,,,,,"C","ABCO",,"S",2.00,20.00,7.00,,
2058,"BST1100311",,1.00,,1,,,,,,,,,,,"C","ABMA",,"S",1.00,5.00,3.00,,
2060,"RAL1100093",,102.00,77,8,6,8,3,,,,,,,,"C","CADE27",,"S",4.00,100.00,22.00,,
2061,"RAL1100093",,6.00,1,,2,3,,,,,,,,,"C","ABCO",,"S",3.00,95.00,21.00,,
2062,"RAL1100093",,2.00,,2,,,,,,,,,,,"H","QUKE",,"S",1.00,10.00,5.00,,
2063,"RAL1100093",,7.00,,5,2,,,,,,,,,,"C","PILA",,"S",2.00,35.00,7.00,,
2064,"RAL1100093",,1.00,,1,,,,,,,,,,,"C","PIPO",,"S",1.00,8.00,5.00,,
2065,"RAL1100060",,2.00,,,1,1,,,,,,,,,"C","PILA",,"S",3.00,28.00,7.00,,
2066,"RAL1100060",,41.00,3,11,14,3,6,3,1,,,,,,"C","ABCO",,"S",6.00,110.00,7.00,,
2067,"RAL1100060",,28.00,1,6,8,9,1,2,1,,,,,,"C","CADE27",,"S",6.00,99.00,9.00,,
2068,"RAL1100060",,2.00,,2,,,,,,,,,,,"C","PSME",,"S",,,,,
2069,"RAL1100061",,53.00,2,13,6,15,9,3,3,2,,,,,"C","CADE27",,"S",7.00,97.00,10.00,,
2070,"RAL1100061",,15.00,3,1,7,1,1,2,,,,,,,"C","ABCO",,"S",5.00,73.00,6.00,,
2071,"RAL1100061",,2.00,1,,,1,,,,,,,,,"C","PSME",,"S",3.00,24.00,3.00,,
2072,"RAL1100128",,82.00,11,44,26,1,,,,,,,,,"C","CADE27",,"S",2.00,10.00,2.00,,
2073,"RAL1100128",,20.00,,9,10,1,,,,,,,,,"C","ABCO",,"S",3.00,24.00,6.00,,
2074,"RAL1100128",,10.00,4,3,2,,1,,,,,,,,"C","PILA",,"S",4.00,16.00,5.00,,
2075,"RAL1100128",,2.00,,1,1,,,,,,,,,,"C","PSME",,"S",2.00,14.00,3.00,,
2076,"RAL1100128",,2.00,,,2,,,,,,,,,,"C","PIPO",,"S",2.00,15.00,6.00,,
