OldPLOTID,Regen_Plot,DBH,ID,Species,comments
,BAR1111760,18.3,812,QUKE,
,BAR1111760,5.8,813,QUKE,
,BAR1111760,10.8,814,QUKE,
,BAR1111663,34.8,815,PIJE,
,BAR1111663,37,816,PIPO,
,BAR1112279,24.2,817,QUCH2,
,BAR1112248,17.8,818,PISA2,
,BAR1111942,45.3,822,QUKE,
,BAR1112248,8.7,824,QUGA4,
,BAR1111716,8.5,826,QUKE,
,BAR1111717,29,827,QUKE,
,BAR1111564,42.3,834,QUKE,
,BAR1111564,40.1,835,QUKE,
,BAR1111564,21.2,836,QUKE,
,BAR1111565,22.5,837,PIJE,
,BAR1111565,10.6,838,QUKE,
,BAR1111565,5,839,QUKE,
,BAR1111684,15.8,846,QUGA4,
,BAR1111684,11.3,847,QUGA4,
,BAR1111683,27.2,849,QUKE,
,BAR1111683,22.1,850,QUKE,
,BAR1111683,28.8,851,QUKE,
,BAR1111683,25,852,QUKE,
,BAR1112019,50,858,QUGA4,
,BAR1112247,9.2,868,QUCH2,
,BAR1112247,10.5,869,QUCH2,
,BAR1112247,20.4,870,QUKE,
,BAR1112230,10.8,871,QUKE,
,BAR1112230,14.6,872,QUKE,
,BAR1112230,24.8,873,QUKE,
,BAR1112230,21.9,874,QUKE,
,BAR1112230,25.5,875,QUKE,
,BAR1112230,25.6,876,QUKE,
,BAR1112230,27,877,QUKE,
,BAR1112230,26.5,878,QUKE,
,BAR1112230,15.1,879,PSME,
,BAR1112230,14.9,881,QUKE,
,BAR1112230,27.4,882,QUKE,
,BAR1112020,27.3,885,QUKE,
,BAR1112020,24.7,886,QUKE,
,BAR1112020,53.7,887,PSME,
,BAR1112020,14,888,QUGA4,
,BAR1112020,18.7,889,QUGA4,
,BAR1111683,5,890,QUKE,
,BAR1111367,35.3,891,QUCH2,
,BAR1111367,29.1,892,QUCH2,
,BAR1111367,26.1,893,QUCH2,
,BAR1111367,24,894,QUCH2,
,BAR1111614,5.1,904,PIPO,
,BAR1111614,10.7,905,PIPO,
,BAR1111614,9,906,PSME,
,BAR1111614,10.1,907,PIPO,
,BAR1111614,22.7,908,PIPO,
,BAR1111613,6,909,QUGA4,
,BAR1111613,6.1,910,QUGA4,
,BAR1111613,10.8,911,QUGA4,
,BAR1111613,12.2,912,QUGA4,
,BAR1112118,82.2,913,PSME,
,BAR1111662,41.7,916,PIPO,
,BAR1111664,17.5,917,QUCH2,
,BAR1111664,14.3,918,QUCH2,
,BAR1111664,15,919,QUCH2,
,BAR1111664,15,920,QUGA4,
,BAR1111664,16.1,921,QUCH2,
,BAR1111664,19,922,QUCH2,
,BAR1111664,21,923,QUGA4,
,BAR1111664,15,924,PSME,
,BAR1111664,7.2,925,QUGA4,
,BAR1111664,7.2,926,QUGA4,
,BAR1112231,18.9,928,QUKE,
,BAR1112231,23.7,929,QUKE,
,BAR1112231,22.8,930,QUKE,
,BAR1112231,18.8,931,QUKE,
,BAR1112087,25,934,QUKE,
,BAR1112087,38.1,935,PIPO,
,BAR1112087,76.2,936,PSME,
,BAR1112087,77.2,937,PSME,
,BAR1112087,95.5,938,PSME,
,BST1100200,17.3,941,CADE27,
,BST1100175,40.2,942,ABCO,
,BST1100175,31,943,PIPO,
,BST1100175,32,944,CADE27,
,BST1100163,45,945,PILA,
,BST1100173,35.6,946,ABCO,
,BST1100173,72.8,947,ABCO,
,BST1100173,37.9,948,ABCO,
,BST1100174,28.3,949,ABMA,
,BST1100174,59,950,ABCO,
,BST1100174,36,951,ABMA,
,BST1100174,75.4,952,ABMA,
,BST1100177,28.5,953,ABCO,
,BST1100177,9.5,954,ABMA,
,BST1100185,11.7,955,ABMA,
,BST1100185,31.5,956,ABMA,
,BST1100185,20,957,ABMA,
,BST1100185,5,958,ABMA,
,BST1100185,8.2,959,ABMA,
,BST1100185,7.6,960,ABMA,
,BST1100198,15.7,961,ABMA,
,BST1100198,13.9,962,ABMA,
,BST1100198,21,963,ABMA,
,BST1100203,60.5,964,ABCO,
,BST1100203,22.2,965,CADE27,
,BST1100203,55.8,966,ABCO,
,BST1100205,93,967,PIJE,
,BST1100205,47.1,968,CADE27,
,BST1100205,59.3,969,ABCO,
,BST1100210,19,970,ABCO,
,BST1100213,38.7,971,ABMA,
,BST1100213,43,972,ABMA,
,BST1100214,38.6,973,ABCO,
